Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, Pa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, Pa*s)","Therm. Cond. (v, W/m*K)"
24.366,0.28,65.664,0.015229,41.444,45.708,1.9247,5.9126,12.657,988.64,-0.48133,9.9093E-06,0.10277,0.0012312,3.412,0.29308,380.74,462.81,19.043,6.6996,14.617,373.49,14.778,1.2331E-06,0.023221
24.527,0.29,65.425,0.015285,43.377,47.81,2.0044,5.9226,12.812,982.57,-0.45889,9.7929E-06,0.10267,0.0012045,3.5291,0.28336,380.82,463,18.933,6.7138,14.777,373.95,14.656,1.2434E-06,0.023494
24.683,0.3,65.189,0.01534,45.282,49.884,2.0825,5.9323,12.968,976.58,-0.4366,9.6807E-06,0.10256,0.0011784,3.6464,0.27424,380.88,463.15,18.826,6.728,14.94,374.38,14.538,1.2536E-06,0.023764
24.836,0.31,64.955,0.015395,47.161,51.934,2.1591,5.9418,13.124,970.66,-0.41444,9.5725E-06,0.10246,0.001153,3.764,0.26567,380.92,463.28,18.722,6.7422,15.105,374.78,14.424,1.2637E-06,0.024032
24.985,0.32,64.724,0.01545,49.016,53.96,2.2342,5.9512,13.282,964.8,-0.39239,0.000009468,0.10234,0.0011282,3.882,0.2576,380.93,463.36,18.62,6.7564,15.272,375.16,14.313,1.2737E-06,0.024298
25.131,0.33,64.496,0.015505,50.847,55.964,2.308,5.9603,13.44,959,-0.37043,9.3668E-06,0.10223,0.001104,4.0004,0.24998,380.93,463.42,18.521,6.7706,15.442,375.51,14.205,1.2835E-06,0.024562
25.275,0.34,64.269,0.015559,52.657,57.947,2.3806,5.9693,13.6,953.26,-0.34854,9.2689E-06,0.10211,0.0010804,4.1191,0.24277,380.9,463.44,18.424,6.7849,15.615,375.85,14.1,1.2932E-06,0.024825
25.415,0.35,64.045,0.015614,54.446,59.911,2.4519,5.9782,13.761,947.57,-0.3267,9.1739E-06,0.10198,0.0010573,4.2382,0.23595,380.86,463.44,18.33,6.7991,15.791,376.16,13.998,1.3028E-06,0.025086
25.552,0.36,63.823,0.015668,56.216,61.857,2.5221,5.9869,13.923,941.93,-0.30491,9.0818E-06,0.10186,0.0010347,4.3577,0.22948,380.79,463.41,18.237,6.8134,15.97,376.46,13.898,1.3123E-06,0.025346
25.687,0.37,63.602,0.015723,57.968,63.785,2.5913,5.9955,14.087,936.34,-0.28313,8.9922E-06,0.10173,0.0010125,4.4777,0.22333,380.71,463.35,18.146,6.8277,16.153,376.73,13.801,1.3218E-06,0.025605
25.819,0.38,63.383,0.015777,59.702,65.697,2.6594,6.0039,14.252,930.79,-0.26137,8.9051E-06,0.1016,0.00099089,4.5981,0.21748,380.62,463.26,18.057,6.842,16.338,376.99,13.706,1.3311E-06,0.025862
25.949,0.39,63.165,0.015831,61.42,67.594,2.7265,6.0122,14.42,925.29,-0.23961,8.8204E-06,0.10147,0.00096968,4.7191,0.21191,380.5,463.15,17.97,6.8563,16.527,377.23,13.613,1.3404E-06,0.02612
26.076,0.4,62.949,0.015886,63.122,69.476,2.7928,6.0205,14.589,919.83,-0.21783,8.7378E-06,0.10134,0.00094889,4.8405,0.20659,380.37,463.01,17.884,6.8706,16.719,377.46,13.523,1.3496E-06,0.026376
26.202,0.41,62.735,0.01594,64.809,71.345,2.8582,6.0286,14.76,914.4,-0.19603,8.6573E-06,0.1012,0.00092852,4.9624,0.20151,380.23,462.85,17.8,6.885,16.916,377.67,13.434,1.3587E-06,0.026632
26.325,0.42,62.521,0.015995,66.483,73.201,2.9228,6.0367,14.934,909.01,-0.17418,8.5787E-06,0.10106,0.00090854,5.0849,0.19666,380.07,462.67,17.717,6.8994,17.116,377.87,13.347,1.3678E-06,0.026888
26.446,0.43,62.309,0.016049,68.143,75.044,2.9866,6.0446,15.109,903.65,-0.15229,8.5019E-06,0.10092,0.00088893,5.2079,0.19202,379.9,462.46,17.636,6.9138,17.32,378.06,13.262,1.3769E-06,0.027143
26.565,0.44,62.097,0.016104,69.791,76.877,3.0497,6.0525,15.287,898.32,-0.13033,8.4269E-06,0.10078,0.0008697,5.3315,0.18756,379.71,462.24,17.556,6.9282,17.528,378.23,13.178,1.3859E-06,0.027398
26.682,0.45,61.887,0.016158,71.427,78.698,3.112,6.0604,15.468,893.02,-0.1083,8.3536E-06,0.10064,0.00085081,5.4558,0.18329,379.5,461.99,17.477,6.9427,17.74,378.39,13.096,1.3948E-06,0.027654
26.798,0.46,61.678,0.016213,73.052,80.51,3.1737,6.0682,15.652,887.75,-0.086191,8.2818E-06,0.10049,0.00083226,5.5806,0.17919,379.29,461.72,17.399,6.9572,17.957,378.54,13.016,1.4037E-06,0.027909
26.912,0.47,61.469,0.016268,74.666,82.312,3.2348,6.0759,15.838,882.5,-0.063984,8.2115E-06,0.10034,0.00081405,5.7061,0.17525,379.06,461.43,17.322,6.9717,18.179,378.67,12.937,1.4126E-06,0.028165
27.024,0.48,61.261,0.016324,76.27,84.105,3.2952,6.0837,16.027,877.28,-0.041674,8.1427E-06,0.10019,0.00079615,5.8322,0.17146,378.82,461.12,17.246,6.9863,18.406,378.8,12.859,1.4214E-06,0.028421
27.134,0.49,61.054,0.016379,77.864,85.89,3.3551,6.0913,16.22,872.08,-0.01925,8.0751E-06,0.10004,0.00077855,5.959,0.16781,378.56,460.79,17.172,7.0009,18.637,378.92,12.782,1.4303E-06,0.028678
27.243,0.5,60.847,0.016435,79.45,87.667,3.4144,6.099,16.416,866.9,0.0032985,8.0089E-06,0.099892,0.00076126,6.0866,0.1643,378.29,460.44,17.098,7.0155,18.874,379.02,12.707,1.4391E-06,0.028935
27.35,0.51,60.641,0.01649,81.027,89.437,3.4732,6.1066,16.615,861.74,0.025981,7.9438E-06,0.099739,0.00074425,6.2148,0.16091,378.01,460.07,17.025,7.0302,19.117,379.12,12.632,1.4479E-06,0.029194
27.456,0.52,60.436,0.016547,82.595,91.2,3.5315,6.1143,16.818,856.6,0.048807,7.8799E-06,0.099584,0.00072753,6.3438,0.15763,377.71,459.68,16.952,7.045,19.365,379.21,12.559,1.4567E-06,0.029453
27.56,0.53,60.23,0.016603,84.157,92.956,3.5894,6.1219,17.025,851.47,0.071786,7.8172E-06,0.099428,0.00071108,6.4736,0.15447,377.41,459.28,16.881,7.0597,19.619,379.29,12.486,1.4654E-06,0.029713
27.663,0.54,60.026,0.01666,85.711,94.707,3.6468,6.1295,17.236,846.36,0.09493,7.7554E-06,0.09927,0.00069489,6.6042,0.15142,377.09,458.85,16.81,7.0746,19.88,379.36,12.415,1.4742E-06,0.029974
27.765,0.55,59.821,0.016717,87.259,96.453,3.7037,6.1371,17.451,841.27,0.11825,7.6947E-06,0.099111,0.00067896,6.7356,0.14847,376.76,458.41,16.74,7.0895,20.147,379.42,12.345,1.4829E-06,0.030237
27.866,0.56,59.617,0.016774,88.8,98.193,3.7603,6.1448,17.671,836.18,0.14175,7.6349E-06,0.098951,0.00066329,6.8678,0.14561,376.41,457.95,16.671,7.1044,20.421,379.48,12.275,1.4917E-06,0.030501
27.965,0.57,59.413,0.016831,90.336,99.93,3.8165,6.1524,17.895,831.11,0.16544,7.5761E-06,0.098789,0.00064785,7.0009,0.14284,376.06,457.47,16.602,7.1194,20.702,379.53,12.206,1.5005E-06,0.030767
28.063,0.58,59.208,0.016889,91.866,101.66,3.8723,6.1601,18.124,826.05,0.18934,7.5181E-06,0.098626,0.00063266,7.1349,0.14016,375.69,456.98,16.534,7.1345,20.99,379.57,12.138,1.5092E-06,0.031034
28.159,0.59,59.004,0.016948,93.391,103.39,3.9277,6.1679,18.359,821,0.21345,7.4609E-06,0.098462,0.0006177,7.2698,0.13755,375.31,456.47,16.466,7.1496,21.286,379.61,12.07,0.000001518,0.031303
28.255,0.6,58.8,0.017007,94.911,105.12,3.9829,6.1756,18.598,815.96,0.23778,7.4045E-06,0.098296,0.00060297,7.4057,0.13503,374.92,455.93,16.399,7.1648,21.59,379.63,12.004,1.5268E-06,0.031574
28.35,0.61,58.596,0.017066,96.427,106.84,4.0377,6.1834,18.844,810.92,0.26235,7.3489E-06,0.098129,0.00058847,7.5426,0.13258,374.51,455.39,16.332,7.18,21.903,379.66,11.937,1.5356E-06,0.031848
28.443,0.62,58.392,0.017126,97.94,108.56,4.0923,6.1913,19.095,805.9,0.28717,0.000007294,0.097961,0.00057418,7.6804,0.1302,374.1,454.82,16.266,7.1954,22.224,379.67,11.872,1.5444E-06,0.032123
28.535,0.63,58.188,0.017186,99.448,110.28,4.1465,6.1992,19.353,800.87,0.31224,7.2399E-06,0.097791,0.0005601,7.8193,0.12789,373.67,454.24,16.2,7.2108,22.555,379.68,11.807,1.5533E-06,0.032401
28.627,0.64,57.983,0.017246,100.95,111.99,4.2006,6.2072,19.617,795.85,0.33758,7.1863E-06,0.097621,0.00054624,7.9592,0.12564,373.23,453.64,16.135,7.2262,22.895,379.68,11.742,1.5622E-06,0.032681
28.717,0.65,57.778,0.017307,102.46,113.71,4.2543,6.2152,19.888,790.83,0.3632,7.1334E-06,0.097449,0.00053257,8.1003,0.12345,372.78,453.02,16.07,7.2418,23.246,379.68,11.678,1.5711E-06,0.032964
28.806,0.66,57.573,0.017369,103.96,115.42,4.3079,6.2233,20.166,785.82,0.38911,7.0811E-06,0.097276,0.00051911,8.2425,0.12132,372.31,452.39,16.005,7.2574,23.607,379.68,11.615,0.00000158,0.03325
28.895,0.67,57.368,0.017431,105.45,117.13,4.3613,6.2315,20.452,780.81,0.41532,7.0294E-06,0.097101,0.00050585,8.3858,0.11925,371.84,451.73,15.941,7.2732,23.98,379.66,11.552,0.000001589,0.033539
28.982,0.68,57.162,0.017494,106.95,118.85,4.4144,6.2398,20.746,775.79,0.44185,6.9782E-06,0.096926,0.00049278,8.5304,0.11723,371.35,451.06,15.877,7.289,24.364,379.65,11.489,0.000001598,0.033832
29.069,0.69,56.955,0.017558,108.45,120.56,4.4674,6.2482,21.049,770.78,0.46871,6.9275E-06,0.096749,0.00047991,8.6761,0.11526,370.85,450.37,15.813,7.3049,24.761,379.62,11.426,1.6071E-06,0.034127
29.154,0.7,56.748,0.017622,109.94,122.27,4.5203,6.2567,21.36,765.76,0.49591,6.8773E-06,0.096571,0.00046722,8.8232,0.11334,370.33,449.67,15.75,7.3209,25.171,379.6,11.364,1.6162E-06,0.034426
29.239,0.71,56.54,0.017687,111.43,123.99,4.573,6.2653,21.681,760.74,0.52347,6.8276E-06,0.096392,0.00045471,8.9716,0.11146,369.8,448.94,15.687,7.337,25.594,379.57,11.302,1.6254E-06,0.034729
29.323,0.72,56.332,0.017752,112.93,125.71,4.6256,6.274,22.011,755.72,0.55139,6.7783E-06,0.096211,0.00044239,9.1213,0.10963,369.27,448.2,15.623,7.3532,26.032,379.53,11.241,1.6346E-06,0.035037
29.406,0.73,56.123,0.017818,114.42,127.43,4.678,6.2829,22.353,750.69,0.5797,6.7294E-06,0.09603,0.00043025,9.2725,0.10785,368.71,447.44,15.561,7.3695,26.485,379.49,11.179,1.6439E-06,0.035348
29.489,0.74,55.913,0.017885,115.91,129.15,4.7304,6.2919,22.705,745.65,0.60841,0.000006681,0.095848,0.00041828,9.425,0.1061,368.15,446.66,15.498,7.3859,26.955,379.45,11.118,1.6532E-06,0.035663
29.57,0.75,55.702,0.017953,117.4,130.87,4.7827,6.301,23.069,740.61,0.63753,6.6329E-06,0.095664,0.00040649,9.5791,0.10439,367.57,445.86,15.435,7.4025,27.441,379.4,11.057,1.6626E-06,0.035984
29.651,0.76,55.49,0.018021,118.9,132.6,4.8349,6.3103,23.445,735.56,0.66709,6.5852E-06,0.095479,0.00039487,9.7347,0.10272,366.98,445.05,15.373,7.4191,27.945,379.34,10.996,1.6721E-06,0.036309
29.731,0.77,55.277,0.018091,120.4,134.33,4.8871,6.3197,23.835,730.51,0.69709,6.5378E-06,0.095294,0.00038342,9.892,0.10109,366.37,444.21,15.31,7.4359,28.468,379.29,10.935,1.6816E-06,0.03664
29.81,0.78,55.063,0.018161,121.89,136.06,4.9393,6.3293,24.239,725.44,0.72756,6.4907E-06,0.095107,0.00037215,10.051,0.099494,365.75,443.35,15.248,7.4528,29.012,379.23,10.874,1.6913E-06,0.036976
29.889,0.79,54.848,0.018232,123.39,137.8,4.9914,6.3391,24.657,720.36,0.75852,6.4439E-06,0.094919,0.00036103,10.211,0.097929,365.11,442.48,15.185,7.4699,29.577,379.16,10.813,0.000001701,0.037317
29.967,0.8,54.632,0.018304,124.9,139.54,5.0435,6.3491,25.092,715.27,0.78998,6.3974E-06,0.094731,0.00035009,10.374,0.096397,364.47,441.58,15.123,7.487,30.164,379.1,10.753,1.7108E-06,0.037665
30.044,0.81,54.414,0.018378,126.4,141.29,5.0957,6.3593,25.543,710.17,0.82197,6.3511E-06,0.094541,0.00033931,10.538,0.094895,363.8,440.67,15.06,7.5043,30.776,379.03,10.692,1.7206E-06,0.038019
30.12,0.82,54.195,0.018452,127.91,143.04,5.1479,6.3697,26.012,705.05,0.8545,6.3051E-06,0.094351,0.00032869,10.704,0.093422,363.12,439.73,14.998,7.5218,31.413,378.95,10.631,1.7306E-06,0.03838
30.196,0.83,53.975,0.018527,129.43,144.81,5.2002,6.3803,26.5,699.91,0.8876,6.2592E-06,0.09416,0.00031823,10.872,0.091978,362.43,438.77,14.935,7.5394,32.078,378.87,10.57,1.7407E-06,0.038748
30.271,0.84,53.752,0.018604,130.95,146.57,5.2525,6.3912,27.008,694.77,0.92129,6.2136E-06,0.093968,0.00030794,11.042,0.090561,361.72,437.79,14.873,7.5571,32.772,378.79,10.509,1.7509E-06,0.039124
30.346,0.85,53.529,0.018682,132.47,148.35,5.3049,6.4023,27.539,689.6,0.9556,6.1681E-06,0.093776,0.0002978,11.215,0.08917,360.99,436.78,14.81,7.575,33.497,378.71,10.448,1.7612E-06,0.039507
30.419,0.86,53.303,0.018761,134,150.13,5.3574,6.4136,28.093,684.41,0.99055,6.1228E-06,0.093583,0.00028783,11.389,0.087804,360.24,435.76,14.747,7.5931,34.255,378.62,10.386,1.7716E-06,0.039899
30.493,0.87,53.076,0.018841,135.53,151.92,5.4101,6.4252,28.672,679.21,1.0262,6.0776E-06,0.09339,0.00027801,11.566,0.086462,359.48,434.7,14.684,7.6113,35.05,378.53,10.325,1.7822E-06,0.040299
30.565,0.88,52.846,0.018923,137.07,153.72,5.4629,6.4372,29.278,673.98,1.0625,6.0325E-06,0.093197,0.00026835,11.745,0.085142,358.7,433.63,14.621,7.6298,35.883,378.44,10.263,1.7929E-06,0.040709
30.637,0.89,52.615,0.019006,138.62,155.54,5.5159,6.4494,29.914,668.73,1.0995,5.9875E-06,0.093003,0.00025885,11.927,0.083845,357.91,432.53,14.557,7.6483,36.757,378.34,10.201,1.8037E-06,0.041129
30.709,0.9,52.381,0.019091,140.18,157.36,5.5691,6.462,30.581,663.46,1.1373,5.9425E-06,0.09281,0.00024951,12.111,0.082569,357.09,431.4,14.493,7.6671,37.676,378.24,10.138,1.8147E-06,0.041559
30.779,0.91,52.145,0.019177,141.74,159.19,5.6225,6.4748,31.282,658.16,1.176,5.8976E-06,0.092616,0.00024032,12.298,0.081314,356.25,430.25,14.429,7.6861,38.643,378.14,10.075,1.8259E-06,0.042
30.85,0.92,51.907,0.019265,143.31,161.04,5.6762,6.4881,32.019,652.83,1.2154,5.8528E-06,0.092423,0.00023129,12.488,0.080077,355.4,429.07,14.364,7.7053,39.663,378.04,10.012,1.8372E-06,0.042453
30.919,0.93,51.665,0.019355,144.89,162.9,5.7301,6.5017,32.797,647.48,1.2557,5.8079E-06,0.092231,0.00022243,12.681,0.078859,354.52,427.86,14.3,7.7246,40.738,377.93,9.9484,1.8487E-06,0.042919
30.989,0.94,51.421,0.019447,146.49,164.77,5.7843,6.5158,33.619,642.1,1.2969,0.000005763,0.09204,0.00021372,12.877,0.077659,353.62,426.62,14.234,7.7442,41.875,377.82,9.8841,1.8603E-06,0.043397
31.057,0.95,51.174,0.019541,148.09,166.66,5.8389,6.5302,34.487,636.68,1.3391,0.000005718,0.091851,0.00020517,13.076,0.076476,352.7,425.35,14.168,7.764,43.079,377.71,9.8193,1.8722E-06,0.04389
31.125,0.96,50.924,0.019637,149.71,168.56,5.8938,6.5452,35.408,631.23,1.3823,0.000005673,0.091663,0.00019678,13.279,0.075308,351.75,424.05,14.102,7.784,44.355,377.59,9.754,1.8843E-06,0.044398
31.193,0.97,50.671,0.019735,151.34,170.48,5.9491,6.5606,36.386,625.75,1.4265,5.6279E-06,0.091477,0.00018856,13.485,0.074156,350.78,422.71,14.035,7.8043,45.712,377.47,9.6879,1.8966E-06,0.044923
31.26,0.98,50.414,0.019836,152.98,172.42,6.0049,6.5765,37.426,620.23,1.4719,5.5826E-06,0.091294,0.00018049,13.695,0.073018,349.79,421.34,13.968,7.8248,47.155,377.35,9.6212,1.9092E-06,0.045464
31.326,0.99,50.153,0.019939,154.64,174.38,6.0611,6.5929,38.535,614.67,1.5184,5.5371E-06,0.091114,0.0001726,13.91,0.071893,348.76,419.94,13.9,7.8456,48.695,377.23,9.5537,0.000001922,0.046024
31.393,1,49.888,0.020045,156.31,176.36,6.1179,6.6099,39.721,609.07,1.5661,5.4915E-06,0.090938,0.00016486,14.128,0.070781,347.71,418.49,13.831,7.8666,50.341,377.1,9.4853,0.000001935,0.046604
31.458,1.01,49.619,0.020154,158,178.36,6.1752,6.6276,40.991,603.43,1.6151,5.4456E-06,0.090767,0.0001573,14.351,0.069682,346.63,417.01,13.761,7.8879,52.104,376.97,9.4161,1.9484E-06,0.047205
31.523,1.02,49.345,0.020265,159.72,180.39,6.2331,6.6458,42.355,597.74,1.6655,5.3995E-06,0.090602,0.00014991,14.579,0.068593,345.52,415.48,13.691,7.9094,53.998,376.84,9.3459,0.000001962,0.04783
31.588,1.03,49.066,0.020381,161.45,182.44,6.2917,6.6648,43.825,592,1.7174,0.000005353,0.090444,0.00014269,14.812,0.067514,344.37,413.91,13.62,7.9313,56.037,376.71,9.2746,0.000001976,0.048479
31.652,1.04,48.783,0.020499,163.2,184.52,6.3511,6.6846,45.414,586.21,1.7708,5.3062E-06,0.090294,0.00013565,15.05,0.066445,343.19,412.3,13.547,7.9534,58.24,376.57,9.2022,1.9904E-06,0.049156
31.715,1.05,48.493,0.020622,164.98,186.63,6.4112,6.7051,47.136,580.36,1.8258,0.000005259,0.090154,0.0001288,15.294,0.065385,341.98,410.63,13.474,7.9758,60.626,376.44,9.1286,2.0051E-06,0.049862
31.778,1.06,48.197,0.020748,166.78,188.77,6.4722,6.7265,49.009,574.46,1.8825,5.2114E-06,0.090026,0.00012212,15.544,0.064332,340.72,408.91,13.399,7.9986,63.219,376.3,9.0536,2.0202E-06,0.050601
31.841,1.07,47.895,0.020879,168.61,190.95,6.5342,6.7488,51.055,568.5,1.9411,5.1632E-06,0.089911,0.00011563,15.801,0.063285,339.42,407.14,13.324,8.0217,66.047,376.15,8.9771,2.0358E-06,0.051375
31.903,1.08,47.585,0.021015,170.47,193.17,6.5972,6.7722,53.299,562.47,2.0017,5.1145E-06,0.089812,0.00010934,16.066,0.062244,338.08,405.3,13.246,8.0451,69.145,376.01,8.8991,2.0519E-06,0.052189
31.965,1.09,47.268,0.021156,172.37,195.43,6.6613,6.7966,55.771,556.37,2.0643,5.0652E-06,0.089733,0.00010325,16.338,0.061208,336.69,403.4,13.168,8.0689,72.551,375.86,8.8193,2.0685E-06,0.053046
32.027,1.1,46.942,0.021303,174.3,197.74,6.7268,6.8222,58.508,550.19,2.1293,5.0151E-06,0.089676,0.000097356,16.618,0.060175,335.24,401.44,13.087,8.0931,76.315,375.71,8.7376,2.0856E-06,0.05395
32.087,1.11,46.608,0.021456,176.28,200.09,6.7936,6.8492,61.556,543.94,2.1967,4.9642E-06,0.089646,0.000091678,16.908,0.059145,333.74,399.39,13.005,8.1176,80.495,375.56,8.6539,2.1034E-06,0.054909
32.148,1.12,46.262,0.021616,178.29,202.5,6.862,6.8775,64.968,537.6,2.2667,4.9124E-06,0.089647,0.000086219,17.207,0.058115,332.18,397.27,12.92,8.1425,85.165,375.41,8.5679,2.1219E-06,0.055928
32.208,1.13,45.906,0.021784,180.36,204.98,6.9321,6.9074,68.817,531.16,2.3396,4.8597E-06,0.089686,0.000080987,17.518,0.057084,330.55,395.06,12.834,8.1678,90.414,375.26,8.4794,2.1411E-06,0.057016
32.268,1.14,45.538,0.02196,182.48,207.52,7.0041,6.939,73.19,524.63,2.4156,4.8057E-06,0.08977,0.000075993,17.841,0.05605,328.85,392.75,12.745,8.1935,96.356,375.1,8.3881,2.1612E-06,0.058182
32.327,1.15,45.155,0.022146,184.67,210.14,7.0784,6.9725,78.201,517.99,2.4951,4.7505E-06,0.089907,0.000071247,18.178,0.055013,327.07,390.34,12.653,8.2196,103.14,374.94,8.2937,2.1822E-06,0.059438
32.385,1.16,44.757,0.022343,186.92,212.84,7.1551,7.0082,83.999,511.23,2.5783,4.6938E-06,0.090107,0.000066761,18.529,0.053968,325.2,387.8,12.558,8.2461,110.95,374.79,8.1958,2.2044E-06,0.060798
